ID,Occupant,Address,City,State,ZipCode,FIPS,Phone,Publisher,Year
2005496280,WIGGIN & DANA,265 CHURCH ST # 1,NEW HAVEN,CT,06510,09009,2034984400,InfoGroup,2005
2005496281,BARTLETT LAW OFFICES,742 CHAPEL ST,NEW HAVEN,CT,06510,09009,2037724844,InfoGroup,2005
2005496282,WIGGIN & DANA,265 CHURCH ST # 1,NEW HAVEN,CT,06510,09009,2034984400,InfoGroup,2005
2005496283,YALE UNIVERSITY SCHOOL OF MED,333 CEDAR ST,NEW HAVEN,CT,06510,09009,2036882475,InfoGroup,2005
2005496284,WIGGIN & DANA,265 CHURCH ST # 1,NEW HAVEN,CT,06510,09009,2034984400,InfoGroup,2005
2005496285,WIGGIN & DANA,265 CHURCH ST # 1,NEW HAVEN,CT,06510,09009,2034984400,InfoGroup,2005
2005496286,WIGGIN & DANA,265 CHURCH ST # 1,NEW HAVEN,CT,06510,09009,2034984400,InfoGroup,2005
2005496287,UIL HOLDINGS CORP,157 CHURCH ST # 15,NEW HAVEN,CT,06510,09009,2034992000,InfoGroup,2005
2005496288,WINNICK RUBEN & CHAMBERS,110 WHITNEY AVE,NEW HAVEN,CT,06510,09009,2037724400,InfoGroup,2005
2005496289,WIGGIN & DANA,265 CHURCH ST # 1,NEW HAVEN,CT,06510,09009,2034984400,InfoGroup,2005
2005496290,YALE PULMONARY GROUP,333 CEDAR ST # 105LCI,NEW HAVEN,CT,06510,09009,2037854162,InfoGroup,2005
2005496291,UNITED CAPITAL INVESTMENTS INC,157 CHURCH ST,NEW HAVEN,CT,06510,09009,2034992963,InfoGroup,2005
2005496292,WIGGIN & DANA,265 CHURCH ST # 1,NEW HAVEN,CT,06510,09009,2034984400,InfoGroup,2005
2005496293,YALE DIGESTIVE DISEASES,20 YORK ST # T236,NEW HAVEN,CT,06510,09009,2036881449,InfoGroup,2005
2005496294,YALE PEDIATRIC NEUROLOGY,333 CEDAR ST # 3089,NEW HAVEN,CT,06510,09009,2037855708,InfoGroup,2005
2005496295,WIGGIN & DANA,265 CHURCH ST # 1,NEW HAVEN,CT,06510,09009,2034984400,InfoGroup,2005
2005496296,YALE THERAPEUTIC RADIOLOGY,15 YORK ST,NEW HAVEN,CT,06510,09009,2036881861,InfoGroup,2005
2005496297,WIGGIN & DANA,265 CHURCH ST # 1,NEW HAVEN,CT,06510,09009,2034984400,InfoGroup,2005
2005496298,WIGGIN & DANA,265 CHURCH ST # 1,NEW HAVEN,CT,06510,09009,2034984400,InfoGroup,2005
2005496299,AMALFI GRILLE,196 CROWN ST,NEW HAVEN,CT,06510,09009,2037774745,InfoGroup,2005
2005496300,YALE SCHOOL OF MEDICINE,333 CEDAR ST # 105LCI,NEW HAVEN,CT,06510,09009,2037854162,InfoGroup,2005
