ID,Occupant,Address,City,State,ZipCode,FIPS,Phone,Publisher,Year
2014579806,,367 CEDAR ST,NEW HAVEN,CT,06510,09009,2037853829,InfoGroup,2014
2014579807,WIRELESS WIZARD,786 CHAPEL ST,NEW HAVEN,CT,06510,09009,2034951300,InfoGroup,2014
2014579808,,20 YORK ST # 2,NEW HAVEN,CT,06510,09009,2036886800,InfoGroup,2014
2014579809,STRATTON FAXON,59 ELM ST # 3,NEW HAVEN,CT,06510,09009,2036249500,InfoGroup,2014
2014579810,UTRECHT ART SUPPLIES,135 CHURCH ST # 1,NEW HAVEN,CT,06510,09009,2036245000,InfoGroup,2014
2014579811,YALE NEONATALOGY,20 YORK ST # 4,NEW HAVEN,CT,06510,09009,2036882320,InfoGroup,2014
2014579812,,333 CEDAR ST,NEW HAVEN,CT,06510,09009,2037854114,InfoGroup,2014
2014579813,SUSMAN DUFFY & SEGALOFF PC,59 ELM ST # 5,NEW HAVEN,CT,06510,09009,2036249830,InfoGroup,2014
2014579814,EYE CARE GROUP,40 TEMPLE ST # 5B,NEW HAVEN,CT,06510,09009,2037773937,InfoGroup,2014
2014579815,OLYMPIA PROPERTIES LLC,142 TEMPLE ST # 304,NEW HAVEN,CT,06510,09009,2037770819,InfoGroup,2014
2014579816,,330 CEDAR ST # 208058,NEW HAVEN,CT,06510,09009,2037852020,InfoGroup,2014
2014579817,CONNECTICUT COMMUNITY INVSTMNT,100 CROWN ST,NEW HAVEN,CT,06510,09009,2037766172,InfoGroup,2014
2014579818,,20 YORK ST # 2,NEW HAVEN,CT,06510,09009,2036886800,InfoGroup,2014
2014579819,YALE ANESTHESIOLOGY,20 YORK ST # 3,NEW HAVEN,CT,06510,09009,2037852802,InfoGroup,2014
2014579820,SUSMAN DUFFY & SEGALOFF PC,59 ELM ST # 5,NEW HAVEN,CT,06510,09009,2036249830,InfoGroup,2014
2014579821,CONNECTICUT CONFERENCE-MNCPLTS,900 CHAPEL ST # 900,NEW HAVEN,CT,06510,09009,2034983000,InfoGroup,2014
2014579822,,333 CEDAR ST,NEW HAVEN,CT,06510,09009,2037854114,InfoGroup,2014
2014579823,,333 CEDAR ST,NEW HAVEN,CT,06510,09009,2037852802,InfoGroup,2014
2014579824,,40 TEMPLE ST # 3RD,NEW HAVEN,CT,06510,09009,2037763539,InfoGroup,2014
2014579825,YALE AIDS CARE PROGRAM,135 COLLEGE ST # 323,NEW HAVEN,CT,06510,09009,2037374040,InfoGroup,2014
2014579826,YALE AIDS CARE PROGRAM,135 COLLEGE ST # 323,NEW HAVEN,CT,06510,09009,2037374040,InfoGroup,2014
2014579827,,333 CEDAR ST,NEW HAVEN,CT,06510,09009,2037854114,InfoGroup,2014
2014579828,EMPOWER NEW HAVEN INC,900 CHAPEL ST # 10,NEW HAVEN,CT,06510,09009,2037762777,InfoGroup,2014
2014579829,MARCUS LAW FIRM,111 WHITNEY AVE # 2,NEW HAVEN,CT,06510,09009,2034813330,InfoGroup,2014
2014579830,,20 YORK ST,NEW HAVEN,CT,06510,09009,2036884242,InfoGroup,2014
2014579831,,20 YORK ST,NEW HAVEN,CT,06510,09009,2036882358,InfoGroup,2014
2014579832,YALE-NEW HAVEN TEMPLE ENDOSCPY,40 TEMPLE ST # 4B,NEW HAVEN,CT,06510,09009,2036884060,InfoGroup,2014
2014579833,WITHERS BERGMAN LLP,157 CHURCH ST # 19,NEW HAVEN,CT,06510,09009,2037891320,InfoGroup,2014
2014579834,,20 YORK ST # 2,NEW HAVEN,CT,06510,09009,2036886800,InfoGroup,2014
2014579835,,142 TEMPLE ST # 200,NEW HAVEN,CT,06510,09009,2037529198,InfoGroup,2014
2014579836,,20 YORK ST # 2,NEW HAVEN,CT,06510,09009,2036886800,InfoGroup,2014
2014579837,PLAIN SIGHT GROUP,19 WHITNEY AVE,NEW HAVEN,CT,06510,09009,2032858617,InfoGroup,2014
2014579838,YALE OTOLARYNGOLOGY,333 CEDAR ST # TMP4,NEW HAVEN,CT,06510,09009,2037852805,InfoGroup,2014
2014579839,,20 YORK ST,NEW HAVEN,CT,06510,09009,2036884242,InfoGroup,2014
2014579840,WITHERS BERGMAN LLP,157 CHURCH ST # 19,NEW HAVEN,CT,06510,09009,2037891320,InfoGroup,2014
2014579841,,333 CEDAR ST,NEW HAVEN,CT,06510,09009,2037852802,InfoGroup,2014
2014579842,,50 ELM ST # 1,NEW HAVEN,CT,06510,09009,2038653309,InfoGroup,2014
2014579843,TYRO BROADCASTING & MEDIA,39 CHURCH ST,NEW HAVEN,CT,06510,09009,2037850884,InfoGroup,2014
2014579844,,20 YORK ST # 2,NEW HAVEN,CT,06510,09009,2036886800,InfoGroup,2014
2014579845,YALE-NEW HAVEN HOSPITAL,20 YORK ST,NEW HAVEN,CT,06510,09009,2037854730,InfoGroup,2014
2014579846,,20 YORK ST,NEW HAVEN,CT,06510,09009,2036882358,InfoGroup,2014
2014579847,,333 CEDAR ST,NEW HAVEN,CT,06510,09009,2037852802,InfoGroup,2014
2014579848,YALE ANESTHESIOLOGY,20 YORK ST # 3,NEW HAVEN,CT,06510,09009,2037852802,InfoGroup,2014
2014579849,YALE ANESTHESIOLOGY,20 YORK ST # T-3,NEW HAVEN,CT,06510,09009,2037852802,InfoGroup,2014
2014579850,,20 YORK ST,NEW HAVEN,CT,06510,09009,2036884242,InfoGroup,2014
2014579851,PELLI CLARKE PELLI ARCHITECTS,1056 CHAPEL ST,NEW HAVEN,CT,06510,09009,2037772515,InfoGroup,2014
2014579852,WEPAWAUG FLAGG CREDIT UNION,200 ORANGE ST,NEW HAVEN,CT,06510,09009,2039468700,InfoGroup,2014
2014579853,,333 CEDAR ST,NEW HAVEN,CT,06510,09009,2037852802,InfoGroup,2014
2014579854,VASCULAR INTERVENTIONAL RDLGY,333 CEDAR ST # 2-204,NEW HAVEN,CT,06510,09009,2037857026,InfoGroup,2014
2014579855,MANCINI & DUFFY,,NEW HAVEN,CT,06510,09009,2036022260,InfoGroup,2014
2014579856,,20 YORK ST,NEW HAVEN,CT,06510,09009,2036884242,InfoGroup,2014
